1558638586, 267.939, 说实话波兰如果那个时候和捷克组个同盟也不会被打的怎么惨
1558638945, 298.593, 过去证明了闪电战果然名不虚传
1558642190, 24.705, 居然在B站播出？
1558645314, 248.61, 英国：波兰加油哦 我先去拿个爆米花
1558648551, 310.186, 有点危机意识就好了
1558650156, 37.59, 我在B站拉肖邦233333
1558651377, 253.482, 宣而不战
1558653550, 29.075, 天灭法西斯！！！
1558654373, 40.376, 吹爆！！！！
1558655209, 110.104, 明显是在不停下就要死了，钢琴师摇头否定，“”我不会停下来“”   播音室的表示 你不走我可走了
1558655675, 302.725, 英法光是宣战，然后半个兵都没派
1558656184, 6.439, 厉害了
1558657125, 205.136, 这片子的中文配音也配的非常好
1558657477, 106.798, 耳机党阵亡
1558658747, 163.434, 妈妈气质真好
1558658987, 8.436, 肖邦的升c小调夜曲遗作
1558659025, 294.719, 英国二战真的坑
1558659624, 18.086, 这个超好看
1558659691, 61.521, 男主为了这个电影专门去学的钢琴
1558660116, 111.281, 让他别弹了，下楼去！
1558660218, 300.862, 三脸懵逼
1558660291, 303.291, 一战打过苏   所以苏跟德要打波兰
1558660797, 69.082, 前方高能
1558661259, 67.438, 阿德里安为这部电影学了钢琴哦
1558661312, 134.326, 这也太乐观了吧
1558661339, 110.618, 意思是轰炸来了让他快跑，但他热爱钢琴不到危险真的降临不会离开
1558661452, 176.474, 这个民族颠沛流离千年，所以非常不愿继续流浪吧
1558661522, 273.538, 快走吧qwq
1558661621, 358.698, 他们根本不知道，钱已经没用了
1558661674, 270.476, 波兰一战的时候不太地道，所以这么早就被德国打。。。
1558661805, 288.105, 2战又筛掉了一批不够警惕的犹太人。。。
1558662697, 115.795, 就是别弹了，有危险
1558662881, 262.046, 法国立马投降，英国没有丘吉尔也准备投降，
1558662915, 292.785, 快走啊，德军马上就来了
1558662923, 18.539, 真的好看
1558662929, 307.525, 当场沦陷
1558663402, 158.01, 德国闪击波兰
1558663435, 146.359, 现在坐飞机去英国还来得及
1558663553, 252.359, 英国在摇旗呐喊
1558663627, 290.559, 波兰四周就没了
1558663933, 296.955, 秒打脸了真是…
1558664020, 6.97, ！！！！！
1558664040, 26.904, 我的天！我之前看哭了的电影
1558664248, 296.858, 靠别人就是死啊。。
1558665343, 1.412, 哈哈哈 买的好
1558665357, 8.239, 终于有了
1558665361, 281.588, 然后今晚就GG了
1558665422, 218.464, 波兰亡国n.0
1558665434, 99.467, 对  电台开着呢
1558665497, 272.662, 平独镇露，平独镇露
1558665880, 9.442, 超级好看的电影
1558666457, 14.603, 男主好帅
1558666600, 41.01, 来了，这电影真的不错
1558666943, 176.668, 对一样东西过于执着会舍去其他的情感
1558667080, 169.668, 这是战乱区的日常，他们都习惯了
1558667357, 308.604, 人都傻了
1558668584, 264.785, 233333
1558669485, 324.034, 那TM是德国鬼子
1558670117, 248.957, 此时是电影《至暗时刻》
1558670203, 63.561, 浴血黑帮一见倾心
1558670393, 47.817, 当年看的时候看的心里直难受真的
1558670481, 116.377, 告诉他让他别弹了，会死人的
1558670518, 11.416, 哇 超喜欢这个电影！
1558670609, 170.494, 好好的一个家 唉
1558670627, 110.592, 叫他别弹了，很危险
1558670651, 2.928, 惊了
1558671047, 292.184, 波兰是一个晚上就结束了
1558671192, 74.439, 占个座，接着看
1558671300, 7.17, 永恒经典
1558671402, 232.318, 。
1558671482, 2.94, ？？？？？这是让我刷第四遍？
1558671657, 281.973, 闪击战
1558671999, 269.971, 说实话，把自己的命运交给别人，是不明智的。
1558672010, 269.971, 波兰因此付出了代价
1558672303, 2.978, 看我发现了什么！！！！！
1558673225, 246.377, 绥靖政策
1558673506, 301.188, 拍出了喜剧片的效果
1558673898, 301.958, 闪电战波兰沦陷
1558673991, 8.509, 666
1558674247, 253.217, 张伯伦真的坑
1558674379, 60.113, 哇哦
1558675077, 183.598, 原来是英语
1558676108, 306.026, 英国付出了他们能做的一切，后期德国720万兵力，英国没沦陷已是奇迹
1558676389, 29.454, 厉害了
1558676874, 26.285, 哇！，可以看这个了！
1558677110, 81.759, 这部电影比辛德勒名单看着还难过
1558678255, 6.021, 666666666666666
1558678270, 20.591, 爱死这破站了
1558678301, 109.61, 手势是让他走别弹，再不会走要死了
1558678499, 27.213, 火钳刘明
1558679176, 57.796, 这手太好看了
